message,id,version,level,task,opcode,keywords,recordid,providername,providerid,logname,processid,threadid,machinename,userid,timecreated,activityid,containerlog,matchedqueryids,bookmark,leveldisplayname,opcodedisplayname,taskdisplayname,keywordsdisplaynames,properties,parsed_timestamp,template_id,log_template,template_code,event_freq,template_entropy,hour_of_day,is_after_hours
Network State Change Fired New Internet Connection Profile: true Connection Cost Changed: true Domain Connectivity Level Changed: false Network Connectivity Level Changed: true Host Name Changed: false Wwan Registration State Changed: false Tethering Operational State Changed: false Tethering Client Count Changed: false,4004,0,4,0,0,4611686018427387904,7056,Microsoft-Windows-NetworkProfile,fbcfac3f-8459-419f-8e48-1f0b49cdb85e,Microsoft-Windows-NetworkProfile/Operational,2244,8472,Sree,S-1-5-20,24-02-2026 20:22:04,5beae733-a26c-0005-55e7-ea5b6ca2dc01,Microsoft-Windows-NetworkProfile/Operational,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,INFORMATION,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty],,9bf572d0,4 Network State Change Fired New Internet Connection Profile: true Connection Cost Changed: true Domain Connectivity Level Changed: false Network Connectivity Level Changed: true Host Name Changed: false Wwan Registration State Changed: false Tethering Operational State Changed: false Tethering Client Count Changed: false,1,0.15061963775023832,1.8929975753693304,-1,1
"Network Connected Name: Airtel_vija_8655 Desc: Airtel_vija_8655 Type: Unmanaged State: Connected,IPV4 (Internet),IPV6 (Internet) Category: Public",10000,0,4,0,0,4611721202799476768,7055,Microsoft-Windows-NetworkProfile,fbcfac3f-8459-419f-8e48-1f0b49cdb85e,Microsoft-Windows-NetworkProfile/Operational,2244,21276,Sree,S-1-5-20,24-02-2026 20:22:04,5beae733-a26c-0005-55e7-ea5b6ca2dc01,Microsoft-Windows-NetworkProfile/Operational,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,INFORMATION,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty],,3eda68d4,"4 Network Connected Name: Airtel_vija_8655 Desc: Airtel_vija_8655 Type: Unmanaged State: Connected,IPV4 (Internet),IPV6 (Internet) Category: Public",2,0.04242135367016206,3.1601034192241024,-1,1
Transitioning to State: Identified Network Interface Guid: {40630b7f-9004-4155-b605-9190b072981d},4002,0,4,1,2,4612002677776187392,7054,Microsoft-Windows-NetworkProfile,fbcfac3f-8459-419f-8e48-1f0b49cdb85e,Microsoft-Windows-NetworkProfile/Operational,2244,21276,Sree,S-1-5-20,24-02-2026 20:22:04,5beae733-a26c-0005-55e7-ea5b6ca2dc01,Microsoft-Windows-NetworkProfile/Operational,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,INFORMATION,Info,Wait for Identification,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty],,7b738633,4 Transitioning to State: Identified Network Interface Guid: {<UUID>},3,0.0905624404194471,2.4017157167957564,-1,1
Network State Change Fired New Internet Connection Profile: true Connection Cost Changed: true Domain Connectivity Level Changed: false Network Connectivity Level Changed: true Host Name Changed: false Wwan Registration State Changed: false Tethering Operational State Changed: false Tethering Client Count Changed: false,4004,0,4,0,0,4611686018427387904,7053,Microsoft-Windows-NetworkProfile,fbcfac3f-8459-419f-8e48-1f0b49cdb85e,Microsoft-Windows-NetworkProfile/Operational,2244,12688,Sree,S-1-5-20,24-02-2026 19:53:41,5beae733-a26c-0005-55e7-ea5b6ca2dc01,Microsoft-Windows-NetworkProfile/Operational,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,INFORMATION,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty],,9bf572d0,4 Network State Change Fired New Internet Connection Profile: true Connection Cost Changed: true Domain Connectivity Level Changed: false Network Connectivity Level Changed: true Host Name Changed: false Wwan Registration State Changed: false Tethering Operational State Changed: false Tethering Client Count Changed: false,1,0.15061963775023832,1.8929975753693304,-1,1
Network Connected Name: Identifying... Desc: Identifying... Type: Unmanaged State: Connected Category: Public,10000,0,4,0,0,4611721202799476768,7052,Microsoft-Windows-NetworkProfile,fbcfac3f-8459-419f-8e48-1f0b49cdb85e,Microsoft-Windows-NetworkProfile/Operational,2244,21276,Sree,S-1-5-20,24-02-2026 19:53:40,5beae733-a26c-0005-55e7-ea5b6ca2dc01,Microsoft-Windows-NetworkProfile/Operational,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,INFORMATION,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty],,05060504,4 Network Connected Name: Identifying... Desc: Identifying... Type: Unmanaged State: Connected Category: Public,4,0.09199237368922783,2.386049600051357,-1,1
Entered State: Identifying Network Interface Guid: {40630b7f-9004-4155-b605-9190b072981d},4001,0,4,1,1,4611721202799476736,7051,Microsoft-Windows-NetworkProfile,fbcfac3f-8459-419f-8e48-1f0b49cdb85e,Microsoft-Windows-NetworkProfile/Operational,2244,21276,Sree,S-1-5-20,24-02-2026 19:53:40,5beae733-a26c-0005-55e7-ea5b6ca2dc01,Microsoft-Windows-NetworkProfile/Operational,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,INFORMATION,Info,Wait for Identification,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty],,a96624b4,4 Entered State: Identifying Network Interface Guid: {<UUID>},5,0.09246901811248809,2.3808816298929143,-1,1
Network Disconnected Name: Airtel_vija_8655 Desc: Airtel_vija_8655 Type: Unmanaged State: Disconnected Category: Public,10001,0,4,0,0,4611721202799476768,7050,Microsoft-Windows-NetworkProfile,fbcfac3f-8459-419f-8e48-1f0b49cdb85e,Microsoft-Windows-NetworkProfile/Operational,2244,21276,Sree,S-1-5-20,24-02-2026 19:53:40,5beae733-a26c-0005-55e7-ea5b6ca2dc01,Microsoft-Windows-NetworkProfile/Operational,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,INFORMATION,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty],,432df52e,4 Network Disconnected Name: Airtel_vija_8655 Desc: Airtel_vija_8655 Type: Unmanaged State: Disconnected Category: Public,6,0.08245948522402288,2.4954481944584637,-1,1
Network State Change Fired New Internet Connection Profile: true Connection Cost Changed: true Domain Connectivity Level Changed: false Network Connectivity Level Changed: true Host Name Changed: false Wwan Registration State Changed: false Tethering Operational State Changed: false Tethering Client Count Changed: false,4004,0,4,0,0,4611686018427387904,7049,Microsoft-Windows-NetworkProfile,fbcfac3f-8459-419f-8e48-1f0b49cdb85e,Microsoft-Windows-NetworkProfile/Operational,2244,9232,Sree,S-1-5-20,24-02-2026 18:58:35,5beae733-a26c-0005-55e7-ea5b6ca2dc01,Microsoft-Windows-NetworkProfile/Operational,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,INFORMATION,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty],,9bf572d0,4 Network State Change Fired New Internet Connection Profile: true Connection Cost Changed: true Domain Connectivity Level Changed: false Network Connectivity Level Changed: true Host Name Changed: false Wwan Registration State Changed: false Tethering Operational State Changed: false Tethering Client Count Changed: false,1,0.15061963775023832,1.8929975753693304,-1,1
"Network Connected Name: Airtel_vija_8655 Desc: Airtel_vija_8655 Type: Unmanaged State: Connected,IPV4 (Internet),IPV6 (Internet) Category: Public",10000,0,4,0,0,4611721202799476768,7048,Microsoft-Windows-NetworkProfile,fbcfac3f-8459-419f-8e48-1f0b49cdb85e,Microsoft-Windows-NetworkProfile/Operational,2244,2344,Sree,S-1-5-20,24-02-2026 18:58:34,5beae733-a26c-0005-55e7-ea5b6ca2dc01,Microsoft-Windows-NetworkProfile/Operational,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,INFORMATION,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty],,3eda68d4,"4 Network Connected Name: Airtel_vija_8655 Desc: Airtel_vija_8655 Type: Unmanaged State: Connected,IPV4 (Internet),IPV6 (Internet) Category: Public",2,0.04242135367016206,3.1601034192241024,-1,1
Transitioning to State: Identified Network Interface Guid: {40630b7f-9004-4155-b605-9190b072981d},4002,0,4,1,2,4612002677776187392,7047,Microsoft-Windows-NetworkProfile,fbcfac3f-8459-419f-8e48-1f0b49cdb85e,Microsoft-Windows-NetworkProfile/Operational,2244,2344,Sree,S-1-5-20,24-02-2026 18:58:34,5beae733-a26c-0005-55e7-ea5b6ca2dc01,Microsoft-Windows-NetworkProfile/Operational,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,INFORMATION,Info,Wait for Identification,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty],,7b738633,4 Transitioning to State: Identified Network Interface Guid: {<UUID>},3,0.0905624404194471,2.4017157167957564,-1,1
