log_type,event_id,event_category,event_type,source_name,computer_name,time_generated,message,parsed_timestamp,template_id,log_template
Network,5,0,INFORMATION,Microsoft-Windows-IsolatedUserMode,Sree,2026-04-16 21:41:55,0 | 0 | 0 | NULL,2026-04-16 21:41:55,1aec52aa,EVT5 NETWOR 0 | 0 | 0 | NULL
Network,2,0,INFORMATION,Microsoft-Windows-IsolatedUserMode,Sree,2026-04-16 21:41:54,0 | 0 | 0,2026-04-16 21:41:54,12e79c0b,EVT2 NETWOR 0 | 0 | 0
Network,10016,0,WARNING,DCOM,Sree,2026-04-16 21:31:53,application-specific | Local | Activation | {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54} | {15C20B67-12E7-4BB6-92BB-7AFF07997402} | SREE | vijayanAdmin | S-1-5-21-2039802478-3675497764-1355025593-1001 | LocalHost (Using LRPC) | Mozilla.Firefox_149.0.2.0_x64__n80bbvh6b1yt2 | Unavailable,2026-04-16 21:31:53,5d7ec3d2,EVT10016 NETWOR application-specific | Local | Activation | {<UUID>} | {<UUID>} | SREE | vijayanAdmin | S-1-5-21-<NUM>-<NUM>-<NUM>-<NUM> | LocalHost (Using LRPC) | Mozilla.Firefox_149.0.2.0_x64__n80bbvh6b1yt2 | Unavailable
Network,10016,0,WARNING,DCOM,Sree,2026-04-16 21:31:47,application-specific | Local | Activation | {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54} | {15C20B67-12E7-4BB6-92BB-7AFF07997402} | SREE | vijayanAdmin | S-1-5-21-2039802478-3675497764-1355025593-1001 | LocalHost (Using LRPC) | Mozilla.Firefox_149.0.2.0_x64__n80bbvh6b1yt2 | Unavailable,2026-04-16 21:31:47,5d7ec3d2,EVT10016 NETWOR application-specific | Local | Activation | {<UUID>} | {<UUID>} | SREE | vijayanAdmin | S-1-5-21-<NUM>-<NUM>-<NUM>-<NUM> | LocalHost (Using LRPC) | Mozilla.Firefox_149.0.2.0_x64__n80bbvh6b1yt2 | Unavailable
Network,10016,0,WARNING,DCOM,Sree,2026-04-16 21:31:45,application-specific | Local | Activation | {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54} | {15C20B67-12E7-4BB6-92BB-7AFF07997402} | SREE | vijayanAdmin | S-1-5-21-2039802478-3675497764-1355025593-1001 | LocalHost (Using LRPC) | Mozilla.Firefox_149.0.2.0_x64__n80bbvh6b1yt2 | Unavailable,2026-04-16 21:31:45,5d7ec3d2,EVT10016 NETWOR application-specific | Local | Activation | {<UUID>} | {<UUID>} | SREE | vijayanAdmin | S-1-5-21-<NUM>-<NUM>-<NUM>-<NUM> | LocalHost (Using LRPC) | Mozilla.Firefox_149.0.2.0_x64__n80bbvh6b1yt2 | Unavailable
Network,5,0,INFORMATION,Microsoft-Windows-IsolatedUserMode,Sree,2026-04-16 21:26:00,0 | 0 | 0 | NULL,2026-04-16 21:26:00,1aec52aa,EVT5 NETWOR 0 | 0 | 0 | NULL
Network,2,0,INFORMATION,Microsoft-Windows-IsolatedUserMode,Sree,2026-04-16 21:25:59,0 | 0 | 0,2026-04-16 21:25:59,12e79c0b,EVT2 NETWOR 0 | 0 | 0
Network,5,0,INFORMATION,Microsoft-Windows-IsolatedUserMode,Sree,2026-04-16 21:20:06,0 | 0 | 0 | NULL,2026-04-16 21:20:06,1aec52aa,EVT5 NETWOR 0 | 0 | 0 | NULL
Network,2,0,INFORMATION,Microsoft-Windows-IsolatedUserMode,Sree,2026-04-16 21:20:05,0 | 0 | 0,2026-04-16 21:20:05,12e79c0b,EVT2 NETWOR 0 | 0 | 0
Network,5,0,INFORMATION,Microsoft-Windows-IsolatedUserMode,Sree,2026-04-16 21:14:26,0 | 0 | 0 | NULL,2026-04-16 21:14:26,1aec52aa,EVT5 NETWOR 0 | 0 | 0 | NULL
Network,2,0,INFORMATION,Microsoft-Windows-IsolatedUserMode,Sree,2026-04-16 21:14:26,0 | 0 | 0,2026-04-16 21:14:26,12e79c0b,EVT2 NETWOR 0 | 0 | 0
Network,10016,0,WARNING,DCOM,Sree,2026-04-16 21:14:04,application-specific | Local | Activation | {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54} | {15C20B67-12E7-4BB6-92BB-7AFF07997402} | SREE | vijayanAdmin | S-1-5-21-2039802478-3675497764-1355025593-1001 | LocalHost (Using LRPC) | 5319275A.WhatsAppDesktop_2.2613.101.0_x64__cv1g1gvanyjgm | Unavailable,2026-04-16 21:14:04,cc01d277,EVT10016 NETWOR application-specific | Local | Activation | {<UUID>} | {<UUID>} | SREE | vijayanAdmin | S-1-5-21-<NUM>-<NUM>-<NUM>-<NUM> | LocalHost (Using LRPC) | 5319275A.WhatsAppDesktop_2.<NUM>.101.0_x64__cv1g1gvanyjgm | Unavailable
